time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-12-10T03:51:46.613Z,12.2739,95.2155,10,4.4,mb,,99,2.495,0.71,us,us60006pn9,2020-03-04T21:26:50.040Z,"277 km ENE of Port Blair, India",earthquake,9.6,1.8,0.127,18,reviewed,us,us
2019-12-07T03:25:06.665Z,19.9237,94.3299,66.45,4.1,mb,,259,2.673,0.87,us,us60006r8u,2020-02-29T19:52:58.040Z,"63 km WSW of Minbu, Myanmar",earthquake,11.1,7.8,0.262,4,reviewed,us,us
2019-12-02T17:53:29.969Z,8.351,94.5307,186.14,5,mb,,59,3.725,0.95,us,us70006fb6,2020-02-19T18:58:30.040Z,"285 km NNW of Sabang, Indonesia",earthquake,7.2,5.5,0.046,152,reviewed,us,us
2019-12-02T01:12:44.545Z,23.0905,93.6727,53.48,4.6,mb,,63,0.451,0.77,us,us70006f4m,2020-02-19T18:58:30.040Z,"19 km N of Falam, Myanmar",earthquake,5.8,6.1,0.061,80,reviewed,us,us
2019-11-29T17:50:18.088Z,13.692,93.3959,49.27,4.9,mb,,43,2.121,0.76,us,us70006ek4,2020-02-19T18:58:20.040Z,"232 km NNE of Bamboo Flat, India",earthquake,6,5.8,0.059,97,reviewed,us,us
2019-11-28T14:39:13.828Z,23.1791,96.0354,10,5.2,mww,,62,1.903,0.72,us,us70006e6m,2020-02-19T18:58:17.040Z,"56 km WNW of Mogok, Myanmar",earthquake,6.1,1.8,0.083,14,reviewed,us,us
2019-11-28T01:40:04.336Z,30.4965,84.2884,15.1,4.6,mb,,91,3.355,0.97,us,us70006e15,2020-02-19T18:58:16.040Z,"158 km NW of Saga, China",earthquake,8.6,4.2,0.084,42,reviewed,us,us
2019-11-27T16:23:31.706Z,27.7986,85.8214,10,4.6,mb,,96,0.891,0.69,us,us70006dt0,2020-02-19T18:58:13.040Z,"22 km SW of Kod?ri??, Nepal",earthquake,6.1,1.8,0.068,65,reviewed,us,us
2019-11-27T10:07:13.425Z,14.2308,93.0511,10,4.5,mb,,76,2.577,0.57,us,us70006dps,2020-02-19T18:58:11.040Z,"282 km N of Bamboo Flat, India",earthquake,7.4,1.9,0.157,12,reviewed,us,us
2019-11-27T00:18:32.422Z,28.1658,87.8728,64.65,4.4,mb,,105,0.96,0.58,us,us70006diu,2020-02-19T18:58:09.040Z,"96 km NW of Mangan, India",earthquake,3,6.5,0.075,52,reviewed,us,us
2019-11-26T11:05:57.604Z,19.2269,94.9378,60.78,5.3,mww,,26,2.497,0.92,us,us70006d5e,2020-02-19T18:58:06.040Z,"27 km WSW of Thayetmyo, Myanmar",earthquake,6.6,4.3,0.068,21,reviewed,us,us
2019-11-26T09:36:12.864Z,19.2631,95.0235,76.48,4.7,mb,,150,2.411,0.51,us,us70006d4y,2020-02-19T18:58:06.040Z,"17 km WSW of Thayetmyo, Myanmar",earthquake,8.6,6.9,0.079,48,reviewed,us,us
2019-11-26T03:53:46.675Z,24.155,94.3136,70.19,4.5,mb,,102,0.075,0.7,us,us70006d1q,2020-02-19T18:58:04.040Z,"50 km SE of Kakching, India",earthquake,5.6,3.5,0.108,25,reviewed,us,us
2019-11-24T15:42:27.455Z,33.0186,92.6928,10,4.3,mb,,118,3.566,0.75,us,us70006ej3,2020-02-14T22:02:28.040Z,"181 km NNE of Nagqu, China",earthquake,10.5,1.9,0.154,14,reviewed,us,us
2019-11-23T22:43:46.367Z,24.9318,96.3511,10,4.1,mb,,117,1.993,0.63,us,us70006caj,2022-08-08T16:59:58.970Z,"116 km WSW of Myitkyina, Myanmar",earthquake,8.1,1.9,0.175,9,reviewed,us,us
2019-11-21T14:11:09.692Z,26.145,91.1372,48.16,4.3,mb,,163,0.866,0.34,us,us70006b0f,2020-02-14T22:02:09.040Z,"23 km SSE of Barpeta, India",earthquake,11.9,9,0.147,13,reviewed,us,us
2019-11-20T14:06:55.919Z,10.9867,95.1124,10,4.6,mb,,124,2.416,0.49,us,us70006aek,2020-02-14T22:02:06.040Z,"269 km ESE of Port Blair, India",earthquake,5.5,1.9,0.109,25,reviewed,us,us
2019-11-19T13:30:55.900Z,29.3228,81.1433,10,5,mww,,33,5.163,0.63,us,us700069vd,2020-02-14T22:02:04.040Z,"20 km ENE of Dipayal, Nepal",earthquake,7.9,1.8,0.103,9,reviewed,us,us
2019-11-19T08:56:38.237Z,30.8646,70.1184,10,4.4,mb,,147,3.776,0.63,us,us70006dnj,2020-02-14T22:02:22.040Z,"53 km WNW of Taunsa, Pakistan",earthquake,7.5,1.9,0.239,5,reviewed,us,us
2019-11-18T13:31:08.384Z,23.5799,70.4585,10,4.6,mb,,109,10.332,0.68,us,us70006d8k,2020-07-10T17:55:11.612Z,"19 km W of R?par, India",earthquake,9.5,1.7,0.125,19,reviewed,us,us
2019-11-17T23:05:55.674Z,11.2863,92.9571,53.39,5.1,mb,,85,0.422,0.95,us,us7000699n,2020-02-07T20:22:05.040Z,"47 km SSE of Port Blair, India",earthquake,6.8,5.5,0.051,124,reviewed,us,us
2019-11-13T13:10:54.879Z,26.1728,93.3051,51.25,4.7,mb,,70,1.438,0.65,us,us60006b1v,2020-10-10T18:03:57.799Z,"38 km NNW of Diphu, India",earthquake,5.6,7.5,0.093,35,reviewed,us,us
2019-11-12T15:24:18.323Z,16.7637,96.1838,10,3.8,mb,,176,3.05,0.38,us,us60006awz,2020-02-07T20:20:23.040Z,near the south coast of Myanmar,earthquake,5.3,2,0.294,3,reviewed,us,us
2019-11-12T02:00:26.426Z,30.0659,80.2927,10,4.3,mb,,94,6.082,0.51,us,us60006ag4,2020-02-07T20:20:14.040Z,"32 km NW of Dh?rchula, India",earthquake,8.7,1.9,0.113,22,reviewed,us,us
2019-11-01T22:36:14.760Z,35.2589,88.9719,10,4.6,mb,,70,7.507,0.85,us,us7000626i,2020-01-18T20:00:54.040Z,western Xizang,earthquake,8.7,1.8,0.076,52,reviewed,us,us
2019-10-26T10:54:09.937Z,30.5449,87.3847,10.44,4,mb,,88,2.625,0.52,us,us6000638h,2020-01-11T21:26:43.040Z,"203 km NW of Rikaze, China",earthquake,7.7,4.4,0.113,21,reviewed,us,us
2019-10-22T01:30:40.682Z,19.2642,95.695,10,4.3,mwr,,63,1.955,0.85,us,us70005x14,2020-01-11T21:26:21.040Z,"51 km ESE of Myaydo, Myanmar",earthquake,6.6,1.8,0.093,11,reviewed,us,us
2019-10-22T01:06:10.496Z,8.0497,94.395,172.3,4.8,mb,,62,3.778,0.57,us,us70005x17,2020-01-11T21:26:21.040Z,"259 km NNW of Sabang, Indonesia",earthquake,8.1,6.6,0.08,48,reviewed,us,us
2019-10-21T17:26:35.244Z,33.4696,81.4093,10,4,mb,,135,6.798,0.57,us,us70005wtf,2020-01-03T16:09:46.040Z,western Xizang,earthquake,8.3,1.9,0.144,13,reviewed,us,us
2019-10-19T13:35:36.906Z,22.5731,93.3104,45.24,4.3,mb,,137,0.275,0.9,us,us600062aj,2020-01-03T16:09:35.040Z,"31 km WSW of Hakha, Myanmar",earthquake,7.3,7.7,0.266,4,reviewed,us,us
2019-10-18T16:48:10.169Z,23.1641,94.2177,76.27,4.9,mb,,96,0.771,1.1,us,us70005vlj,2020-01-03T16:09:31.040Z,"56 km SSW of Mawlaik, Myanmar",earthquake,6.5,7.5,0.086,42,reviewed,us,us
2019-10-18T10:32:54.487Z,32.9796,73.5759,42.77,4.7,mb,,120,0.717,0.94,us,us70005vdm,2020-01-03T16:09:29.040Z,"15 km WNW of Jhelum, Pakistan",earthquake,8.5,6.5,0.097,32,reviewed,us,us
2019-10-16T18:45:42.992Z,23.1646,94.2211,79.56,4.4,mb,,91,0.773,1.38,us,us70005ur2,2020-01-03T16:09:20.040Z,"56 km SSW of Mawlaik, Myanmar",earthquake,6.4,8.1,0.11,24,reviewed,us,us
2019-10-13T17:41:20.227Z,33.0038,73.5064,10,3.3,mb,,183,0.675,0.78,us,us70005twq,2019-12-28T20:45:47.040Z,"22 km WNW of Jhelum, Pakistan",earthquake,7.6,2,0.344,2,reviewed,us,us
2019-10-13T05:06:33.866Z,28.1573,73.1834,14.98,4,mb,,146,5.476,0.56,us,us70005ttj,2019-12-28T20:46:01.040Z,"20 km NW of B?kaner, India",earthquake,6.9,6.5,0.183,8,reviewed,us,us
2019-10-12T06:50:56.055Z,13.3676,93.5713,63.94,4.4,mb,,124,1.883,0.58,us,us70005vkd,2019-12-28T20:46:21.040Z,"206 km NNE of Bamboo Flat, India",earthquake,10.5,10,0.13,17,reviewed,us,us
2019-10-08T07:44:40.429Z,33.9956,72.5735,10,3.9,mb,,161,0.673,1.04,us,us70005rvq,2019-12-28T20:45:47.040Z,"9 km SSW of Topi, Pakistan",earthquake,7.4,2,0.296,3,reviewed,us,us
2019-10-07T12:35:46.401Z,27.293,91.3145,10,4.7,mb,,104,1.786,0.9,us,us70005rkb,2019-12-27T15:51:06.040Z,"7 km ENE of Mongar, Bhutan",earthquake,5,1.8,0.069,63,reviewed,us,us
2019-10-06T05:25:54.681Z,32.9078,73.6905,10,3.6,mb,,184,0.82,0.4,us,us70005xep,2020-09-18T23:06:43.676Z,"4 km SW of Jhelum, Pakistan",earthquake,6,2,0.251,4,reviewed,us,us
2019-10-03T06:24:43.382Z,24.8695,94.1024,59.2,4.8,mb,,50,0.662,0.63,us,us70005q55,2020-07-10T17:49:41.683Z,"17 km ENE of Imph?l, India",earthquake,5.3,7,0.071,61,reviewed,us,us
2019-09-29T09:02:11.934Z,10.9759,91.65,10,4.7,mb,,114,1.267,0.77,us,us70005nfl,2019-12-20T19:03:41.040Z,"141 km SW of Bamboo Flat, India",earthquake,3.9,1.9,0.113,24,reviewed,us,us
2019-09-28T04:58:27.168Z,30.026,81.5319,10,4.4,mb,,183,7.903,0.82,us,us70005s36,2019-12-20T19:04:30.040Z,"45 km SE of Burang, China",earthquake,5.8,2,0.268,4,reviewed,us,us
2019-09-26T19:32:00.160Z,10.9418,91.7174,10,4.2,mb,,108,1.231,1.35,us,us70005s0k,2019-12-20T19:04:22.040Z,"137 km SW of Bamboo Flat, India",earthquake,12.2,1.9,0.167,10,reviewed,us,us
2019-09-26T19:15:33.160Z,10.8407,91.6606,10,4.7,mb,,80,1.336,0.95,us,us70005lxa,2019-12-20T19:02:58.040Z,"149 km SW of Bamboo Flat, India",earthquake,9.2,1.9,0.083,44,reviewed,us,us
2019-09-26T13:04:21.563Z,28.0869,84.4371,10,4.4,mb,,177,6.082,0.8,us,us70005lmv,2019-12-20T19:02:51.040Z,"45 km N of Bharatpur, Nepal",earthquake,11.5,1.9,0.101,28,reviewed,us,us
2019-09-26T07:01:25.768Z,33.0481,73.6318,10,4.7,mb,,101,0.673,1.12,us,us70005lie,2020-07-10T17:48:39.521Z,"15 km NW of Jhelum, Pakistan",earthquake,7.6,1.9,0.138,16,reviewed,us,us
2019-09-25T01:03:59.497Z,32.9807,73.6466,10,3.7,mb,,178,0.739,1.07,us,us70005ky5,2019-12-20T19:02:23.040Z,"9 km WNW of Jhelum, Pakistan",earthquake,6.7,2,0.224,5,reviewed,us,us
2019-09-24T17:35:57.556Z,33.0904,73.7855,10,3.6,mb,,180,0.706,0.72,us,us60005mye,2019-12-20T19:02:14.040Z,"7 km SSE of New Mirpur, Pakistan",earthquake,7,2,0.287,3,reviewed,us,us
2019-09-24T11:01:54.990Z,33.0779,73.7936,10,5.4,mww,,21,0.72,0.87,us,us60005mqp,2020-10-18T20:27:25.449Z,"8 km SSE of New Mirpur, Pakistan",earthquake,5.1,1.7,0.11,8,reviewed,us,us
2019-09-23T09:36:26.024Z,29.4512,95.0638,10,4.3,mb,,158,3.438,0.52,us,us60005m5l,2019-12-10T17:27:05.040Z,"122 km NNE of Shi Yomi, India",earthquake,12.1,1.9,0.133,16,reviewed,us,us
2019-09-22T16:17:01.966Z,28.4605,84.3309,18.23,4.5,mb,,148,6.075,1.06,us,us70005nyj,2019-12-10T17:27:19.040Z,"41 km ENE of Pokhara, Nepal",earthquake,11.8,5.1,0.164,11,reviewed,us,us
2019-09-22T02:31:24.605Z,24.2307,93.6361,63.66,4.4,mb,,110,1.581,0.66,us,us60005lwz,2019-12-10T17:27:03.040Z,"11 km SSW of Chur?ch?ndpur, India",earthquake,5.7,8.9,0.139,15,reviewed,us,us
2019-09-16T18:49:44.136Z,14.0514,93.5854,35,4,mb,,187,6.706,0.49,us,us60005mvl,2019-12-05T18:30:52.040Z,"276 km NNE of Bamboo Flat, India",earthquake,10.2,1.9,0.196,7,reviewed,us,us
2019-09-16T14:33:25.773Z,29.691,80.7419,10,4.5,mb,,165,5.597,0.47,us,us70005h21,2019-12-05T18:31:10.040Z,"24 km SE of D?rchul?, Nepal",earthquake,8.9,1.8,0.151,13,reviewed,us,us
2019-09-11T15:40:17.181Z,10.9512,91.8646,24.99,4.6,mb,,115,1.11,0.65,us,us60005l0t,2019-12-05T18:30:49.040Z,"Andaman Islands, India region",earthquake,7.8,4.8,0.128,21,reviewed,us,us
2019-09-10T20:18:44.667Z,16.2362,95.0235,10,4.6,mb,,109,4.149,0.97,us,us70005ekb,2019-12-05T18:30:55.040Z,"30 km WSW of Mawlamyinegyunn, Myanmar",earthquake,9.1,1.9,0.119,21,reviewed,us,us
2019-09-09T06:40:33.517Z,32.9804,76.181,43.93,4.9,mb,,61,2.528,0.6,us,us70005dl7,2019-11-30T19:36:37.040Z,"43 km E of Bhadarw?h, India",earthquake,8,6.7,0.042,177,reviewed,us,us
2019-09-08T02:34:32.435Z,33.0736,76.1758,10,4.8,mb,,107,2.5,0.74,us,us70005dbm,2019-11-30T19:36:50.040Z,"44 km ENE of Bhadarw?h, India",earthquake,4.3,1.8,0.066,70,reviewed,us,us
2019-09-06T10:09:49.013Z,21.2484,94.7538,101.57,4.7,mb,,35,1.752,0.8,us,us70005cqm,2019-11-30T19:37:06.040Z,"35 km WSW of Pakokku, Myanmar",earthquake,6.5,5.5,0.047,138,reviewed,us,us
2019-09-03T19:18:39.698Z,25.0899,95.0419,88.22,4.5,mb,,66,1.09,0.84,us,us70005blu,2019-11-30T19:37:27.040Z,"84 km SE of Phek, India",earthquake,7.1,6.5,0.11,24,reviewed,us,us
2019-08-31T15:09:21.828Z,22.7414,95.522,10,5.4,mww,,31,1.778,0.67,us,us70005alm,2020-07-10T17:46:35.954Z,"26 km NW of Shwebo, Myanmar",earthquake,5.9,1.8,0.062,25,reviewed,us,us
2019-08-29T11:25:11.964Z,8.3335,92.1961,10,4.3,mb,,200,3.345,1.11,us,us70005bxw,2019-11-15T17:20:00.040Z,"Nicobar Islands, India region",earthquake,9.6,2,0.189,8,reviewed,us,us
2019-08-28T13:40:06.063Z,13.092,93.2507,47.93,4.9,mww,,67,1.511,0.69,us,us7000595a,2019-11-15T17:19:17.040Z,"164 km NNE of Bamboo Flat, India",earthquake,8.6,7.4,0.11,8,reviewed,us,us
2019-08-27T09:57:51.030Z,28.9012,86.4476,10,4.5,mb,,88,0.992,1.18,us,us70005bgh,2019-11-15T17:18:47.040Z,"111 km NNW of Lobujya, Nepal",earthquake,4.3,1.9,0.094,33,reviewed,us,us
2019-08-26T02:49:16.737Z,26.4642,96.1069,105.63,4.7,mb,,48,2.76,0.68,us,us7000585z,2019-11-08T22:13:48.040Z,"75 km WNW of Sarupathar, India",earthquake,7,6,0.051,115,reviewed,us,us
2019-08-24T05:50:08.536Z,30.6928,87.8718,10,4.1,mb,,90,2.877,0.37,us,us700059sn,2019-11-08T22:13:53.040Z,"187 km NNW of Rikaze, China",earthquake,6.8,1.9,0.135,15,reviewed,us,us
2019-08-23T14:54:59.945Z,8.5293,93.8713,65.3,4.2,mb,,192,3.299,0.38,us,us700059q0,2019-11-08T22:13:53.040Z,"Nicobar Islands, India region",earthquake,4.8,9.5,0.175,9,reviewed,us,us
2019-08-21T09:19:12.149Z,9.1171,93.5712,10,4.9,mb,,154,2.65,0.77,us,us600057v8,2019-11-08T22:13:37.040Z,"296 km SSE of Port Blair, India",earthquake,4.9,1.9,0.084,45,reviewed,us,us
2019-08-20T01:08:53.855Z,30.4025,94.7951,10,4.6,mb,,95,5.473,0.55,us,us600057at,2019-11-08T22:13:35.040Z,"211 km NNE of Shi Yomi, India",earthquake,10.8,1.9,0.06,83,reviewed,us,us
2019-08-20T00:55:47.432Z,33.759,86.9172,10,4.1,mb,,109,5.782,0.42,us,us600057aq,2019-11-08T22:13:34.040Z,western Xizang,earthquake,5.5,2,0.15,12,reviewed,us,us
2019-08-18T06:28:34.730Z,24.0196,93.858,63.38,5,mb,,43,1.391,0.78,us,us600056lz,2019-11-02T15:26:13.040Z,"39 km SSE of Chur?ch?ndpur, India",earthquake,6.2,3.8,0.046,151,reviewed,us,us
2019-08-18T03:38:13.321Z,18.3975,94.5477,35,4.8,mb,,171,3.325,1.15,us,us600056kk,2019-11-02T15:26:12.040Z,"82 km W of Myanaung, Myanmar",earthquake,4.3,2,0.073,58,reviewed,us,us
2019-08-18T03:24:21.878Z,18.4733,94.5394,26.14,5.2,mww,,27,3.277,0.88,us,us600056k3,2019-11-02T15:26:12.040Z,"81 km WSW of Pyay, Myanmar",earthquake,7.1,3.9,0.078,16,reviewed,us,us
2019-08-15T05:42:53.633Z,30.4473,94.8662,35.92,4.5,mb,,167,3.324,0.39,us,us700058d8,2019-11-02T15:26:21.040Z,"217 km NNE of Shi Yomi, India",earthquake,12.2,9.8,0.144,14,reviewed,us,us
2019-08-14T23:47:03.718Z,30.3683,94.8628,10,4.9,mb,,100,3.306,0.6,us,us6000558f,2019-11-02T15:26:06.040Z,"209 km NNE of Shi Yomi, India",earthquake,9.6,1.9,0.072,60,reviewed,us,us
2019-08-14T08:13:54.632Z,30.4829,94.83,10,4.9,mb,,135,3.301,1.2,us,us600054vx,2019-11-02T15:26:05.040Z,"220 km NNE of Shi Yomi, India",earthquake,10.4,1.9,0.051,122,reviewed,us,us
2019-08-12T03:32:29.358Z,30.4088,94.7964,10,4.8,mb,,54,3.258,0.85,us,us600053vm,2019-10-29T20:34:02.040Z,"212 km NNE of Shi Yomi, India",earthquake,4.6,1.8,0.054,107,reviewed,us,us
2019-08-12T03:06:16.223Z,30.3508,94.7872,10,4.3,mb,,159,3.239,0.7,us,us600053vp,2019-10-29T20:34:02.040Z,"205 km NNE of Shi Yomi, India",earthquake,8.3,1.9,0.099,29,reviewed,us,us
2019-08-11T11:08:00.620Z,30.4138,94.8662,10,4.6,mb,,54,3.318,0.66,us,us600053pp,2019-10-29T20:33:59.040Z,"214 km NNE of Shi Yomi, India",earthquake,5,1.8,0.074,54,reviewed,us,us
2019-08-11T02:13:26.332Z,30.3447,94.8731,10,5,mb,,68,3.311,1.11,us,us600053la,2019-10-29T20:33:57.040Z,"206 km NNE of Shi Yomi, India",earthquake,8,1.9,0.037,239,reviewed,us,us
2019-08-09T12:41:13.913Z,28.4321,83.3273,10,4.4,mb,,101,8.124,0.57,us,us600055zw,2019-10-29T20:33:49.040Z,"31 km NW of B?glung, Nepal",earthquake,11.5,1.9,0.13,17,reviewed,us,us
2019-08-05T09:43:03.209Z,25.6762,96.6433,10,4.7,mb,,79,2.568,1.18,us,us600050ru,2019-10-19T21:42:13.040Z,"61 km SSW of Sarupathar, India",earthquake,9.5,1.9,0.08,47,reviewed,us,us
2019-08-04T01:26:14.607Z,11.9126,95.0085,10,5,mb,,101,5.594,1.05,us,us600050es,2022-08-08T15:26:23.807Z,"248 km E of Port Blair, India",earthquake,5.3,1.8,0.08,50,reviewed,us,us
2019-08-04T00:10:32.307Z,24.7977,94.315,48.6,4,mb,,130,0.565,0.72,us,us600052yn,2019-10-19T21:42:20.040Z,"30 km ENE of Yairipok, India",earthquake,9.2,10.4,0.26,4,reviewed,us,us
2019-08-02T14:37:37.982Z,23.627,94.6517,93.37,4.6,mb,,91,0.68,0.59,us,us60004zkl,2019-10-19T21:42:05.040Z,"25 km E of Mawlaik, Myanmar",earthquake,5.7,6.8,0.122,20,reviewed,us,us
2019-08-01T00:43:18.690Z,14.1694,93.4565,10,4.5,mb,,82,6.694,0.82,us,us600052t0,2019-10-19T21:42:17.040Z,"284 km NNE of Bamboo Flat, India",earthquake,8.9,1.9,0.106,26,reviewed,us,us
2019-07-29T03:33:52.069Z,32.8856,76.7183,10,4.4,mb,,164,2.989,0.93,us,us60004wwv,2019-10-11T20:12:47.040Z,"45 km NW of Kyelang, India",earthquake,8.6,1.8,0.085,40,reviewed,us,us
2019-07-28T21:25:03.314Z,22.5443,86.4405,10,4.5,mb,,182,4.808,0.86,us,us60004wux,2020-07-10T17:32:18.340Z,"4 km NNW of Mush?bani, India",earthquake,6.4,1.9,0.118,21,reviewed,us,us
2019-07-26T03:24:26.503Z,34.4294,92.9068,10,4.3,mb,,75,4.948,1.09,us,us60004vq9,2019-10-11T20:12:33.040Z,"Southern Qinghai, China",earthquake,10.8,1.9,0.106,25,reviewed,us,us
2019-07-25T23:00:44.212Z,33.9937,71.7561,10,4.2,mb,,180,1.304,0.83,us,us60004ymn,2019-10-11T20:12:31.040Z,"3 km WSW of Pabbi, Pakistan",earthquake,7.4,2,0.305,3,reviewed,us,us
2019-07-24T19:33:09.919Z,19.578,72.508,10,4.1,mb,,158,12.746,1.39,us,us600055sf,2022-03-10T13:24:37.915Z,"25 km WSW of Shirgaon, India",earthquake,12.5,2,0.145,13,reviewed,us,us
2019-07-24T19:17:11.840Z,32.7286,76.3907,10,4.2,mb,,169,2.774,0.84,us,us60004v0j,2019-10-11T20:12:27.040Z,"31 km NE of Chamba, India",earthquake,12,1.9,0.214,6,reviewed,us,us
2019-07-24T10:31:13.522Z,24.8601,95.1097,120.67,4,mb,,71,2.605,0.99,us,us60004ykk,2019-10-11T20:12:25.040Z,"108 km SE of Phek, India",earthquake,6.2,13.7,0.258,4,reviewed,us,us
2019-07-23T06:56:57.384Z,28.8184,95.9771,10,4.5,mb,,55,4.328,0.64,us,us60004y1s,2019-10-11T20:12:22.040Z,"99 km NW of Hayuliang, India",earthquake,3.6,1.9,0.096,32,reviewed,us,us
2019-07-19T22:54:24.714Z,27.7365,92.8044,10,4.9,mww,,23,2.321,0.65,us,us70004pfb,2019-10-04T16:37:23.040Z,"64 km NE of Bomdila, India",earthquake,5.2,1.7,0.103,9,reviewed,us,us
2019-07-19T09:52:01.986Z,27.7047,92.7236,10,4.7,mb,,91,2.266,0.67,us,us70004ns7,2019-10-04T16:37:19.040Z,"57 km NNE of Bomdila, India",earthquake,7.2,1.9,0.056,95,reviewed,us,us
2019-07-19T09:22:15.514Z,27.7188,92.8302,15,5.5,mww,,17,2.313,0.54,us,us70004nrn,2020-07-10T17:46:02.648Z,"64 km NE of Bomdila, India",earthquake,7.6,1.7,0.062,25,reviewed,us,us
2019-07-17T16:55:35.141Z,11.8122,94.8487,10,4.9,mb,,151,5.666,0.6,us,us70004me9,2019-10-04T16:37:09.040Z,"229 km E of Port Blair, India",earthquake,7.4,1.6,0.071,63,reviewed,us,us
2019-07-15T17:41:29.981Z,31.7644,91.1874,11.93,4.9,mb,,69,5.368,0.77,us,us70004ksw,2019-09-28T20:01:25.040Z,"88 km WNW of Nagqu, China",earthquake,9.3,4.2,0.042,174,reviewed,us,us
2019-07-14T22:25:54.113Z,35.0886,81.1262,10,4.3,mb,,108,6.654,0.91,us,us70004k7v,2019-09-28T20:01:24.040Z,"248 km SSE of Hotan, China",earthquake,5.3,1.9,0.125,18,reviewed,us,us
2019-07-13T15:08:59.172Z,24.9048,94.6999,71.28,4.3,mb,,115,0.764,0.91,us,us70004jl6,2019-09-28T20:01:19.040Z,"70 km ENE of Yairipok, India",earthquake,8.4,9.7,0.147,13,reviewed,us,us
2019-07-09T11:40:23.909Z,8.4582,93.7163,10,4.6,mb,,128,5.823,0.62,us,us70004nv4,2019-09-28T20:01:27.040Z,"Nicobar Islands, India region",earthquake,3.9,1.9,0.129,18,reviewed,us,us
2019-07-09T09:26:14.233Z,8.7112,94.0263,79.63,4.6,mb,,97,4.513,0.73,us,us70004nuz,2019-09-28T20:01:27.040Z,"Nicobar Islands, India region",earthquake,9.3,7,0.067,66,reviewed,us,us
2019-07-07T13:45:16.802Z,33.9683,94.3177,10,4,mb,,140,5.044,0.94,us,us70004mby,2019-09-26T14:31:08.040Z,"Southern Qinghai, China",earthquake,11.5,2,0.172,9,reviewed,us,us
2019-07-05T17:08:27.085Z,9.3763,87.1121,10,5,mb,,47,6.678,0.72,us,us70004b9y,2019-09-26T14:30:21.040Z,Bay of Bengal,earthquake,7.1,1.7,0.039,212,reviewed,us,us
2019-07-05T04:46:31.280Z,18.6186,92.8565,10,4.7,mb,,147,4.063,0.73,us,us70004aq6,2019-09-26T14:30:16.040Z,"169 km S of Sittwe, Myanmar",earthquake,9.3,1.9,0.099,31,reviewed,us,us
2019-07-05T02:11:51.291Z,18.5189,92.7871,10,4.8,mb,,194,4.172,0.51,us,us70004kqc,2019-09-26T14:31:05.040Z,"180 km S of Sittwe, Myanmar",earthquake,5.2,2,0.149,15,reviewed,us,us
2019-07-03T19:32:25.750Z,32.8642,91.9414,10,4.2,mb,,95,3.227,1.09,us,us700049k6,2019-09-26T14:30:07.040Z,"154 km N of Nagqu, China",earthquake,9.9,1.9,0.113,22,reviewed,us,us
